index,que_time,path_start_time,cross_time,return_time,start_pos,cross_pos,return_pos,direction,trigger,breakout_level,PTarget,Outer,max_pips_before_BE,cross_to_BE_minutes,cross_to_BE_time,fib_236,fib_382,fib_50,fib_618,fib_764,highest_high_above_trigger,time_highest,lowest_low_below_trigger,time_lowest,Break_evenKey,BEKeyTouches,Trade_survived_BEKey,PTarget_after_BEKey,Outer_after_BEKey,MFE_after_BEKey,outer_touched,outer_closed,ptarget_touched,ptarget_closed,fib_outer_distance,fib_ptarget_distance,fib_total_spread,outer_pre_trigger,ptarget_pre_trigger,fib_236_touched,fib_236_closed,fib_382_touched,fib_382_closed,fib_50_touched,fib_50_closed,fib_618_touched,fib_618_closed,fib_764_touched,fib_764_closed,path_length_minutes
24,2025-09-02 10:00:00+00:00,2025-09-02 11:31:00+00:00,2025-09-02 11:38:00+00:00,2025-09-02 11:39:00+00:00,13,17,18,GREEN,1.33789,1.33815,1.33716,1.34016,,-1,-1.0,1.339452,1.339014,1.33866,1.338306,1.3378679999999998,1.33824,2025-09-02 11:38:00+00:00,1.33745,2025-09-02 11:37:00+00:00,1.33745,1,0,1,0,7.900000000000684,0,0,1,1,0.0022699999999999942,0.0007300000000001194,0.0030000000000001137,1,1,0,0,0,0,0,0,0,0,1,1,7
25,2025-09-02 14:00:00+00:00,2025-09-02 15:02:00+00:00,2025-09-02 15:05:00+00:00,2025-09-02 15:06:00+00:00,2,5,6,RED,1.33972,1.33961,1.34188,1.33906,2.2999999999995246,2,2.0,1.3412144799999999,1.3408027599999999,1.3404699999999998,1.34013724,1.33972552,1.34004,2025-09-02 15:07:00+00:00,1.33949,2025-09-02 15:06:00+00:00,1.34004,1,0,1,0,3.9999999999995595,0,0,1,1,0.000660000000000105,0.0021599999999999397,0.0028200000000000447,1,1,1,1,1,1,1,1,1,1,1,1,6
26,2025-09-02 20:00:00+00:00,2025-09-02 21:14:00+00:00,2025-09-02 21:18:00+00:00,2025-09-02 21:59:00+00:00,9,13,54,RED,1.33958,1.33914,1.33976,1.33905,6.999999999999229,42,42.0,1.33959244,1.3394887800000002,1.3394050000000002,1.33932122,1.33921756,,,1.33888,2025-09-02 21:38:00+00:00,1.33948,1,0,1,0,1.1999999999989797,1,1,1,1,0.0005299999999999194,0.000180000000000069,0.0007099999999999884,1,1,1,1,1,1,1,1,1,1,1,1,47
27,2025-09-02 23:00:00+00:00,2025-09-03 06:30:00+00:00,2025-09-03 06:33:00+00:00,2025-09-03 06:53:00+00:00,5,7,25,GREEN,1.33813,1.33866,1.33813,1.33879,,-2,-3.0,1.33863424,1.33853788,1.33846,1.33838212,1.33828576,1.3391,2025-09-03 06:39:00+00:00,1.33788,2025-09-03 06:30:00+00:00,1.33788,1,0,1,1,12.199999999999989,1,1,1,1,0.0006599999999998829,0.0,0.0006599999999998829,1,1,1,1,1,1,1,1,1,1,1,1,22
28,2025-09-03 00:00:00+00:00,2025-09-03 01:02:00+00:00,2025-09-03 06:30:00+00:00,2025-09-03 06:56:00+00:00,2,14,22,GREEN,1.3376,1.33813,1.33724,1.33834,,-8,-9.0,1.3380804000000002,1.3379198,1.33779,1.3376602,1.3374996,1.3386,2025-09-03 06:51:00+00:00,1.33715,2025-09-03 06:21:00+00:00,1.33715,1,0,1,1,14.499999999999513,1,1,1,1,0.000740000000000185,0.00035999999999991594,0.001100000000000101,1,1,1,1,1,1,1,1,1,1,1,1,22
29,2025-09-03 01:00:00+00:00,2025-09-03 02:00:00+00:00,2025-09-03 02:07:00+00:00,2025-09-03 02:13:00+00:00,0,7,13,GREEN,1.33694,1.33724,1.33674,1.3378,,-6,-6.0,1.33754984,1.33739508,1.3372700000000002,1.33714492,1.33699016,1.33742,2025-09-03 02:08:00+00:00,1.33682,2025-09-03 02:01:00+00:00,1.33682,2,0,1,0,6.00000000000156,0,0,1,1,0.0008600000000000829,0.00019999999999997797,0.001060000000000061,1,1,0,0,1,0,1,1,1,1,1,1,15
30,2025-09-03 06:00:00+00:00,2025-09-03 07:02:00+00:00,2025-09-03 07:03:00+00:00,2025-09-03 07:04:00+00:00,2,3,4,RED,1.33765,1.3374,1.33911,1.33621,3.4000000000000696,0,0.0,1.3384255999999999,1.3380022,1.33766,1.3373178,1.3368943999999998,1.33777,2025-09-03 07:03:00+00:00,1.33724,2025-09-03 07:04:00+00:00,1.33777,1,0,1,0,5.299999999999194,0,0,1,1,0.0014400000000001079,0.0014600000000000168,0.0029000000000001247,1,1,1,1,1,1,1,1,1,1,0,0,4
31,2025-09-03 12:00:00+00:00,2025-09-03 13:16:00+00:00,2025-09-03 13:48:00+00:00,2025-09-03 14:00:00+00:00,5,24,27,RED,1.3425,1.34127,1.343,1.34088,14.400000000001079,3,12.0,1.34249968,1.34219016,1.3419400000000001,1.3416898400000001,1.34138032,1.34314,2025-09-03 14:00:00+00:00,1.34106,2025-09-03 13:48:00+00:00,1.34314,1,0,1,0,13.900000000000023,0,0,1,1,0.0016199999999999548,0.0004999999999999449,0.0021199999999998997,1,1,1,1,1,1,1,1,1,1,1,1,24
32,2025-09-03 15:00:00+00:00,2025-09-03 16:23:00+00:00,2025-09-03 16:24:00+00:00,2025-09-03 16:25:00+00:00,19,20,21,RED,1.34478,1.34468,1.34543,1.34302,1.7000000000000348,2,2.0,1.34486124,1.34450938,1.344225,1.34394062,1.34358876,1.34502,2025-09-03 16:26:00+00:00,1.34461,2025-09-03 16:24:00+00:00,1.34502,1,0,1,0,3.20000000000098,0,0,1,1,0.0017599999999999838,0.0006499999999998174,0.002409999999999801,1,1,1,1,0,0,0,0,0,0,0,0,4
33,2025-09-03 17:00:00+00:00,2025-09-03 18:02:00+00:00,2025-09-03 18:05:00+00:00,2025-09-03 18:36:00+00:00,1,4,31,GREEN,1.34414,1.3444,1.34389,1.34586,,-3,-3.0,1.34539508,1.3451074600000001,1.344875,1.34464254,1.34435492,1.34472,2025-09-03 18:08:00+00:00,1.34386,2025-09-03 18:02:00+00:00,1.34386,1,0,1,0,8.599999999998609,0,0,1,1,0.0017200000000001658,0.00024999999999986144,0.0019700000000000273,1,1,0,0,0,0,0,0,1,0,1,1,32
34,2025-09-04 02:00:00+00:00,2025-09-04 03:01:00+00:00,2025-09-04 06:08:00+00:00,2025-09-04 06:10:00+00:00,1,44,46,GREEN,1.34312,1.34335,1.34294,1.3438,,-10,-36.0,1.3435970400000001,1.34347148,1.3433700000000002,1.34326852,1.34314296,1.34343,2025-09-04 06:09:00+00:00,1.34282,2025-09-04 05:32:00+00:00,1.34282,2,0,1,0,6.099999999999994,0,0,1,1,0.0006800000000000139,0.000180000000000069,0.0008600000000000829,1,1,0,0,0,0,1,1,1,1,1,1,47
35,2025-09-04 03:00:00+00:00,2025-09-04 04:09:00+00:00,2025-09-04 04:39:00+00:00,2025-09-04 04:40:00+00:00,9,37,38,GREEN,1.34284,1.34294,1.3426,1.34332,,-7,-7.0,1.34315008,1.34304496,1.3429600000000002,1.34287504,1.34276992,1.34305,2025-09-04 04:41:00+00:00,1.34261,2025-09-04 04:32:00+00:00,1.34261,1,0,1,0,4.3999999999999595,0,0,1,1,0.00048000000000003595,0.00024000000000001798,0.0007200000000000539,1,1,0,0,1,0,1,1,1,1,1,1,31
36,2025-09-04 11:00:00+00:00,2025-09-04 12:02:00+00:00,2025-09-04 12:04:00+00:00,2025-09-04 12:21:00+00:00,2,4,11,GREEN,1.34336,1.34378,1.34256,1.3449,23.399999999997867,8,18.0,1.34434776,1.34400612,1.3437299999999999,1.34345388,1.34311224,1.3457,2025-09-04 12:15:00+00:00,1.34318,2025-09-04 12:22:00+00:00,1.34318,1,0,1,0,3.8000000000004697,1,0,1,1,0.0015399999999998748,0.0008000000000001339,0.0023400000000000087,1,1,1,1,1,1,1,1,1,1,1,1,11
37,2025-09-04 16:00:00+00:00,2025-09-04 17:01:00+00:00,2025-09-04 17:19:00+00:00,2025-09-04 17:33:00+00:00,1,19,32,GREEN,1.34216,1.34261,1.34174,1.34396,,-14,-14.0,1.34343608,1.34311196,1.3428499999999999,1.3425880399999999,1.34226392,1.3427,2025-09-04 17:30:00+00:00,1.34191,2025-09-04 17:05:00+00:00,1.34191,1,0,1,0,7.900000000000684,0,0,1,1,0.0018000000000000238,0.00042000000000008697,0.0022200000000001108,1,1,0,0,0,0,0,0,1,1,1,1,33
38,2025-09-04 19:00:00+00:00,2025-09-04 20:00:00+00:00,2025-09-04 21:04:00+00:00,2025-09-04 21:42:00+00:00,0,59,92,RED,1.3436,1.34316,1.34366,1.34262,,-12,-16.0,1.34341456,1.34326272,1.34314,1.34301728,1.34286544,1.34376,2025-09-04 20:48:00+00:00,1.34306,2025-09-04 21:31:00+00:00,1.34376,1,0,1,0,7.0000000000014495,0,0,1,1,0.0009799999999999809,6.000000000017103e-05,0.001040000000000152,1,1,1,1,1,1,1,1,0,0,0,0,94
39,2025-09-05 01:00:00+00:00,2025-09-05 02:04:00+00:00,2025-09-05 04:36:00+00:00,2025-09-05 04:37:00+00:00,4,85,86,RED,1.34518,1.34504,1.34542,1.34469,,-69,-130.0,1.34524772,1.34514114,1.345055,1.34496886,1.34486228,1.34548,2025-09-05 02:26:00+00:00,1.34502,2025-09-05 04:36:00+00:00,1.34548,3,0,1,0,4.599999999999049,0,0,1,1,0.0004900000000001015,0.00024000000000001798,0.0007300000000001194,1,1,1,1,1,1,1,1,0,0,0,0,84
40,2025-09-05 05:00:00+00:00,2025-09-05 06:54:00+00:00,2025-09-05 07:00:00+00:00,2025-09-05 07:51:00+00:00,19,22,58,RED,1.34618,1.34548,1.34634,1.34499,11.399999999999189,36,51.0,1.3460214000000001,1.3458243,1.345665,1.3455057,1.3453085999999999,1.34632,2025-09-05 07:51:00+00:00,1.34504,2025-09-05 07:13:00+00:00,1.34632,1,0,1,0,3.4000000000000696,0,0,1,1,0.0011900000000000244,0.00016000000000016001,0.0013500000000001844,1,1,1,1,1,1,1,1,1,1,1,1,41
41,2025-09-05 09:00:00+00:00,2025-09-05 10:30:00+00:00,2025-09-05 11:33:00+00:00,2025-09-05 12:08:00+00:00,16,51,74,RED,1.34811,1.34722,1.34813,1.34674,,-23,-48.0,1.34780196,1.34759902,1.347435,1.34727098,1.3470680400000001,1.34848,2025-09-05 10:45:00+00:00,1.34607,2025-09-05 12:02:00+00:00,1.34848,1,0,1,1,24.099999999998012,1,1,1,1,0.0013699999999998713,2.0000000000131024e-05,0.0013900000000000023,1,1,1,1,1,1,1,1,1,1,1,1,60
42,2025-09-05 18:00:00+00:00,2025-09-05 19:02:00+00:00,2025-09-05 19:08:00+00:00,2025-09-05 19:31:00+00:00,2,7,26,GREEN,1.35052,1.3511,1.3501,1.35147,,-5,-6.0,1.35114668,1.35094666,1.3507850000000001,1.35062334,1.35042332,1.35116,2025-09-05 19:09:00+00:00,1.35048,2025-09-05 19:02:00+00:00,1.35048,1,0,1,0,6.800000000000139,0,0,1,1,0.0009500000000000064,0.0004199999999998649,0.0013699999999998713,1,1,1,1,1,1,1,1,1,1,1,1,26
43,2025-09-08 02:00:00+00:00,2025-09-08 03:03:00+00:00,2025-09-08 03:05:00+00:00,2025-09-08 03:06:00+00:00,3,5,6,RED,1.3504,1.35034,1.35054,1.34973,,-2,-2.0,1.35034884,1.35023058,1.350135,1.35003942,1.34992116,1.35056,2025-09-08 03:03:00+00:00,1.35012,2025-09-08 03:07:00+00:00,1.35056,1,0,1,0,4.3999999999999595,0,0,1,1,0.0006699999999999484,0.000140000000000029,0.0008099999999999774,1,1,1,1,1,0,1,0,0,0,0,0,5
44,2025-09-08 03:00:00+00:00,2025-09-08 04:49:00+00:00,2025-09-08 04:57:00+00:00,2025-09-08 04:58:00+00:00,26,34,35,GREEN,1.34957,1.34973,1.34947,1.35056,,-7,-7.0,1.35030276,1.3501436199999999,1.350015,1.34988638,1.34972724,1.34976,2025-09-08 04:57:00+00:00,1.34952,2025-09-08 04:50:00+00:00,1.34952,1,0,1,0,2.4000000000001798,0,0,1,1,0.0009900000000000464,9.999999999998899e-05,0.0010900000000000354,1,1,0,0,0,0,0,0,0,0,1,1,11
